policy,seed,rounds,S,k,top_gap_lambda,transition_dominance,context_noise_level,transition_variant,trust_scale_mult,gate_scale_mult,gate_mode,beta_gate_concentration,trust_floor,trust_cap,support_mask_enabled,avg_reward,cum_reward,oracle_cum_reward,reward_pct_oracle,cum_regret,top1_agreement,top2_agreement,transition_l1_error,off_support_leakage,runtime_seconds,policy_label,experiment_id
state_thompson,20262539,100,50,2,0.0,0.45,0.0,dense,1.0,1.0,deterministic,20.0,0.1,0.95,False,5422.689549827546,542268.9549827547,1017458.0598204976,53.29644300802168,475189.104837743,0.29,0.44,0.3093149078068643,0.015998644448234,0.0221009999999921,state_thompson,context_noise_refinement
state_thompson,20262540,100,50,2,0.0,0.45,0.0,dense,1.0,1.0,deterministic,20.0,0.1,0.95,False,3380.8733496597315,338087.3349659732,881034.1246897457,38.37392054309246,542946.7897237726,0.16,0.4,0.3094447950384317,0.0159300158558766,0.0238694999999893,state_thompson,context_noise_refinement
state_thompson,20262541,100,50,2,0.0,0.45,0.0,dense,1.0,1.0,deterministic,20.0,0.1,0.95,False,5164.725373227476,516472.5373227476,840814.7032940415,61.425250450470756,324342.16597129387,0.38,0.66,0.31165119055830326,0.015941160895362492,0.021636542000010195,state_thompson,context_noise_refinement
state_thompson,20262542,100,50,2,0.0,0.45,0.0,dense,1.0,1.0,deterministic,20.0,0.1,0.95,False,4841.841317397313,484184.13173973135,1035271.5504034674,46.768804914134314,551087.418663736,0.22,0.34,0.30402468199069005,0.01571454397469974,0.021623832999921433,state_thompson,context_noise_refinement
state_thompson,20262543,100,50,2,0.0,0.45,0.0,dense,1.0,1.0,deterministic,20.0,0.1,0.95,False,4858.931299776906,485893.1299776906,959285.3193866023,50.65157572601926,473392.1894089117,0.3,0.5,0.30623536640497145,0.015700879489555564,0.021529957999973703,state_thompson,context_noise_refinement
state_thompson,20262544,100,50,2,0.0,0.45,0.0,dense,1.0,1.0,deterministic,20.0,0.1,0.95,False,5803.429055099452,580342.9055099452,913417.5440504692,63.53533597969511,333074.63854052394,0.33,0.54,0.30518487417860785,0.01571787785637502,0.021517707999919367,state_thompson,context_noise_refinement
state_thompson,20262545,100,50,2,0.0,0.45,0.0,dense,1.0,1.0,deterministic,20.0,0.1,0.95,False,6000.1493856102115,600014.9385610211,1060464.2703409565,56.58040118297494,460449.3317799354,0.35,0.49,0.305032819453698,0.0156888631609743,0.02155591700000059,state_thompson,context_noise_refinement
state_thompson,20262546,100,50,2,0.0,0.45,0.0,dense,1.0,1.0,deterministic,20.0,0.1,0.95,False,5235.979739165291,523597.9739165291,813500.2467740007,64.36359128259618,289902.2728574716,0.4,0.59,0.3045443276057148,0.01566119700828184,0.021436042000004818,state_thompson,context_noise_refinement
state_thompson,20262547,100,50,2,0.0,0.45,0.0,dense,1.0,1.0,deterministic,20.0,0.1,0.95,False,6690.591676400262,669059.1676400262,1283303.734151594,52.13568306822924,614244.5665115679,0.27,0.57,0.30489260149353814,0.01571944881984874,0.02156045799995354,state_thompson,context_noise_refinement
tm_tw,20261565,100,50,2,0.0,0.45,0.0,dense,1.0,1.0,deterministic,20.0,0.1,0.95,False,3034.531202447886,303453.1202447886,1039515.54467841,29.191782825976546,736062.4244336215,0.19,0.44,0.3040594457733961,0.0156845805332439,0.9971460419999972,tm_tw_dense,context_noise_refinement
tm_tw,20261566,100,50,2,0.0,0.45,0.0,dense,1.0,1.0,deterministic,20.0,0.1,0.95,False,4727.2280994909925,472722.80994909926,1055912.1802931114,44.76914072701347,583189.370344012,0.33,0.57,0.3012651691958279,0.0155306846150879,1.003847417000003,tm_tw_dense,context_noise_refinement
