S,context_noise_level,trust_scale_mult,gate_scale_mult,gate_mode,trust_floor,policy_label,n,mean_reward_pct_oracle,mean_transition_l1_error,mean_off_support_leakage,mean_top1_agreement,mean_top2_agreement,mean_cum_regret
20,0.1,1.0,1.0,deterministic,0.1,exp4_dense,10,72.68727250277425,0.2577261126618128,0.03211845688389905,0.46900000000000003,0.679,245773.11889232666
20,0.1,1.0,1.0,deterministic,0.1,global_ucb_tw_dense,10,59.5381291601578,0.24915356368748887,0.0295774557824486,0.34900000000000003,0.5730000000000001,382837.48921206454
20,0.1,1.0,1.0,deterministic,0.1,local_ucb_tw_dense,10,61.89865053728737,0.2512315862917486,0.03016763612437643,0.366,0.615,332234.056798466
20,0.1,1.0,1.0,deterministic,0.1,oracle,10,95.83555642432952,0.24853737441235024,0.03056112000616275,0.906,0.97,42911.9040177219
20,0.1,1.0,1.0,deterministic,0.1,state_thompson,10,62.624850965016684,0.2500666805561177,0.03085766162431635,0.375,0.592,333800.9695744196
20,0.1,1.0,1.0,deterministic,0.1,tm_tw_dense,10,54.67568841010386,0.2514927382942188,0.02997364248526868,0.363,0.575,408931.12584193924
20,0.1,1.0,1.0,deterministic,0.1,tm_tw_gated_offline,10,69.03499691907761,0.17202249438896686,0.02210694304792996,0.491,0.7030000000000001,302943.0142191248
20,0.1,1.0,1.0,deterministic,0.1,tm_tw_gated_offline_low_rank,10,56.489702707952574,0.17552015157392914,0.0220467615275522,0.346,0.5940000000000001,405782.4776349127
20,0.1,1.0,1.0,deterministic,0.1,tm_tw_refined_dense,10,78.76461492981623,0.2536474227899631,0.03145325524451769,0.505,0.741,200876.3175211611
20,0.1,1.0,1.0,deterministic,0.1,tm_tw_refined_gated_offline,10,82.99416031111971,0.1734797275352613,0.022287677419376727,0.528,0.772,157897.93285852592
20,0.1,1.0,1.0,deterministic,0.1,tm_tw_refined_gated_offline_low_rank,10,76.56006641925754,0.1736018938983123,0.02222464539102105,0.512,0.758,218545.81801436475
20,0.1,1.0,1.0,deterministic,0.1,tm_tw_refined_support_offline,10,75.58748102590917,0.08963953486997507,0.00402461507917869,0.47400000000000003,0.712,225681.36837871178
20,0.1,1.0,1.0,deterministic,0.1,tm_tw_support_offline,10,61.33050021751433,0.09204722986082912,0.00390826541472971,0.389,0.604,356864.61209334224
20,0.1,1.0,1.0,deterministic,0.1,tw_dense,10,58.64272759854741,0.24974824965915002,0.0297147059035432,0.377,0.601,397164.53991796414
20,0.1,1.0,1.0,deterministic,0.1,tw_gated_offline,10,58.04597947949831,0.17307725820299108,0.022034762868368092,0.402,0.635,396091.8409360898
20,0.1,1.0,1.0,deterministic,0.1,tw_gated_offline_low_rank,10,51.723151871527726,0.17353666815826724,0.021941075277299833,0.33999999999999997,0.5700000000000001,436655.0946860345
20,0.1,1.0,1.0,deterministic,0.1,tw_support_offline,10,58.60568942662544,0.09604536661514865,0.00369187311590548,0.382,0.628,372127.63184817426
20,0.2,0.5,0.25,beta,0.1,tm_tw_refined_gated_offline_low_rank_best_beta,10,76.77419306838365,0.18946301452844683,0.025219670976610858,0.49399999999999994,0.721,214093.27355602506
20,0.2,0.5,0.25,beta,0.1,tm_tw_refined_support_gated_offline_low_rank_best_beta,10,74.50925817097041,0.09808446446399569,0.00699561883303134,0.503,0.748,226942.71345847062
20,0.2,1.0,1.0,deterministic,0.1,exp4_dense,10,63.682902016692516,0.26991806915165706,0.03533761262513043,0.409,0.632,325450.2563545067
20,0.2,1.0,1.0,deterministic,0.1,global_ucb_tw_dense,10,52.42501176595289,0.2705018910774126,0.03465792610860366,0.32,0.526,427880.04177885863
20,0.2,1.0,1.0,deterministic,0.1,local_ucb_tw_dense,10,61.60605677084423,0.2709457347244599,0.0347031959243799,0.38,0.6,347610.0541417039
20,0.2,1.0,1.0,deterministic,0.1,oracle,10,89.64616667640333,0.26831889138038895,0.03454606432163487,0.8019999999999999,0.924,103794.5928418666
